iter	Passed	Remaining
441	1387	1751
442	1391	1748
443	1394	1746
444	1398	1743
445	1401	1740
446	1405	1738
447	1409	1736
448	1412	1733
449	1415	1730
450	1419	1727
451	1422	1725
452	1426	1722
453	1430	1720
454	1434	1718
455	1438	1716
456	1443	1714
457	1446	1711
458	1450	1710
459	1454	1707
460	1458	1704
461	1461	1701
462	1465	1699
463	1469	1697
464	1473	1694
465	1476	1692
466	1480	1689
467	1484	1687
468	1488	1685
469	1492	1682
470	1495	1679
471	1498	1676
472	1502	1673
473	1505	1671
474	1509	1668
475	1513	1666
476	1517	1663
477	1521	1661
478	1525	1659
479	1528	1655
480	1532	1653
481	1535	1650
482	1538	1647
483	1542	1644
484	1545	1641
485	1549	1638
486	1553	1636
487	1557	1633
488	1560	1631
489	1564	1628
490	1568	1626
491	1572	1623
492	1576	1621
493	1580	1618
494	1583	1615
495	1587	1613
496	1590	1610
497	1593	1606
498	1597	1604
499	1601	1601
500	1605	1599
501	1608	1595
502	1612	1593
503	1615	1590
504	1619	1587
505	1622	1584
506	1625	1581
507	1629	1577
508	1632	1575
509	1636	1571
510	1639	1569
511	1643	1566
512	1649	1566
513	1655	1565
514	1662	1565
515	1668	1565
516	1676	1566
517	1683	1566
518	1689	1566
519	1695	1564
520	1699	1562
521	1704	1560
522	1708	1557
523	1711	1554
524	1714	1551
525	1717	1547
526	1720	1544
527	1723	1540
528	1725	1536
529	1727	1532
530	1729	1527
531	1731	1523
532	1733	1519
533	1736	1515
534	1738	1510
535	1740	1506
536	1742	1502
537	1744	1497
538	1745	1493
539	1748	1489
540	1750	1484
541	1752	1480
542	1754	1476
543	1756	1472
544	1758	1467
545	1760	1463
546	1762	1459
547	1764	1455
548	1766	1450
549	1768	1446
550	1770	1442
551	1772	1438
552	1775	1435
553	1777	1431
554	1780	1427
555	1782	1423
556	1786	1420
557	1788	1416
558	1791	1413
559	1794	1409
560	1797	1406
561	1800	1403
562	1803	1399
563	1806	1396
564	1809	1392
565	1812	1389
566	1814	1386
567	1818	1382
568	1821	1379
569	1824	1376
570	1827	1373
571	1830	1369
572	1833	1366
573	1836	1363
574	1839	1359
575	1842	1356
576	1845	1353
577	1849	1350
578	1852	1346
579	1855	1343
580	1858	1340
581	1861	1336
582	1865	1333
583	1868	1330
584	1871	1327
585	1874	1324
586	1878	1321
587	1881	1318
588	1885	1315
589	1888	1312
590	1892	1309
591	1895	1306
592	1898	1303
593	1901	1299
594	1904	1296
595	1907	1293
596	1911	1290
597	1914	1286
598	1917	1283
599	1920	1280
600	1923	1277
601	1927	1274
602	1930	1270
603	1933	1267
604	1936	1264
605	1940	1261
606	1943	1258
607	1947	1255
608	1950	1252
609	1953	1249
610	1956	1245
611	1960	1242
612	1963	1239
613	1967	1236
614	1970	1233
615	1973	1230
616	1976	1227
617	1980	1224
618	1983	1220
619	1987	1218
620	1990	1214
621	1994	1211
622	1997	1208
623	2000	1205
624	2003	1202
625	2007	1199
626	2011	1196
627	2015	1193
628	2018	1190
629	2022	1187
630	2026	1184
631	2029	1181
632	2033	1178
633	2036	1175
634	2040	1172
635	2044	1169
636	2047	1166
637	2050	1163
638	2054	1160
639	2057	1157
640	2061	1154
641	2065	1151
642	2068	1148
643	2071	1145
644	2075	1142
645	2078	1139
646	2082	1135
647	2085	1132
648	2088	1129
649	2092	1126
650	2095	1123
651	2099	1120
652	2102	1117
653	2105	1114
654	2109	1111
655	2112	1108
656	2116	1104
657	2134	1109
658	2142	1108
659	2148	1106
660	2153	1104
661	2159	1102
662	2163	1099
663	2167	1096
664	2170	1093
665	2175	1090
666	2178	1087
667	2182	1084
668	2185	1081
669	2187	1077
670	2190	1074
671	2193	1070
672	2195	1066
673	2198	1063
674	2200	1059
675	2203	1056
676	2206	1052
677	2209	1049
678	2211	1045
679	2214	1041
680	2217	1038
681	2219	1035
682	2223	1031
683	2226	1028
684	2229	1025
685	2232	1021
686	2234	1018
687	2238	1014
688	2240	1011
689	2244	1008
690	2246	1004
691	2250	1001
692	2254	998
693	2257	995
694	2260	992
695	2264	989
696	2267	985
697	2271	982
698	2274	979
699	2278	976
700	2281	973
701	2285	970
702	2289	967
703	2292	963
704	2295	960
705	2298	957
706	2302	954
707	2306	951
708	2310	948
709	2313	945
710	2317	942
711	2321	938
712	2324	935
713	2327	932
714	2331	929
715	2334	926
716	2338	923
717	2341	919
718	2345	916
719	2348	913
720	2352	910
721	2355	906
722	2358	903
723	2361	900
724	2365	897
725	2368	894
726	2372	890
727	2375	887
728	2379	884
729	2383	881
730	2387	878
731	2390	875
732	2393	872
733	2397	868
734	2400	865
735	2403	862
736	2407	859
737	2410	855
738	2413	852
739	2417	849
740	2420	845
741	2423	842
742	2427	839
743	2431	836
744	2434	833
745	2437	829
746	2441	826
747	2444	823
748	2447	820
749	2451	817
750	2454	813
751	2457	810
752	2460	807
753	2464	804
754	2467	800
755	2470	797
756	2474	794
757	2477	790
758	2481	787
759	2484	784
760	2487	781
761	2490	777
762	2494	774
763	2498	771
764	2501	768
765	2504	765
766	2507	761
767	2511	758
768	2515	755
769	2518	752
770	2521	748
771	2524	745
772	2528	742
773	2531	739
774	2535	735
775	2539	732
776	2542	729
777	2546	726
778	2550	723
779	2553	720
780	2557	717
781	2560	713
782	2564	710
783	2568	707
784	2571	704
785	2574	701
786	2578	697
787	2581	694
788	2584	691
789	2588	688
790	2591	684
791	2595	681
792	2599	678
793	2602	675
794	2605	671
795	2609	668
796	2612	665
797	2615	662
798	2618	658
799	2622	655
800	2626	652
801	2629	649
802	2632	645
803	2636	642
804	2639	639
805	2642	636
806	2645	632
807	2649	629
808	2652	626
809	2656	623
810	2659	619
811	2662	616
812	2665	613
813	2668	609
814	2672	606
815	2675	603
816	2679	600
817	2682	596
818	2686	593
819	2690	590
820	2693	587
821	2697	584
822	2700	580
823	2704	577
824	2707	574
825	2711	571
826	2714	567
827	2717	564
828	2721	561
